price	volume	time	buy/sell	market/limit	miscellaneous	Since
1.141984	18.63513687	1606810541.204	b	l		1606777200.0
1.141984	0.02986401	1606810544.8196	b	l		1606777200.0
1.143958	56.63634000	1606810544.8974	b	l		1606777200.0
1.145000	29.99991706	1606810548.1558	b	l		1606777200.0
1.145000	0.00008294	1606810552.5327	b	l		1606777200.0
1.148978	10.01999616	1606810552.5354	b	l		1606777200.0
1.148978	8.64500472	1606810586.4888	b	l		1606777200.0
1.155000	12.96302086	1606810652.2171	b	l		1606777200.0
1.155000	10.02094564	1606810690.2587	b	l		1606777200.0
1.155000	0.01600790	1606810690.2622	b	l		1606777200.0
1.155000	0.00002557	1606810690.2637	b	l		1606777200.0
1.156015	18.66500088	1606810699.4961	b	l		1606777200.0
1.157000	30.00000000	1606810699.6119	b	l		1606777200.0
1.163095	12.99067185	1606810709.0964	b	l		1606777200.0
1.163095	5.67432903	1606810717.0651	b	l		1606777200.0
1.164705	10.01000000	1606810717.0696	b	l		1606777200.0
1.165654	12.98288801	1606810717.0726	b	l		1606777200.0
1.165654	0.00778384	1606810717.075	b	l		1606777200.0
1.168000	30.00000000	1606810717.0772	b	l		1606777200.0
1.170218	10.02008396	1606810722.8461	b	l		1606777200.0
1.170218	8.64491692	1606810763.3866	b	l		1606777200.0
1.175465	13.15679424	1606810813.2784	s	l		1606777200.0
1.175465	0.02101724	1606810813.2808	s	l		1606777200.0
1.175465	0.00002774	1606810813.2823	s	l		1606777200.0
1.175465	791.50613000	1606810813.518	s	l		1606777200.0
1.175465	66.66443078	1606810813.8949	s	l		1606777200.0
1.170300	62.28209190	1606810831.2464	s	m		1606777200.0
1.170300	29.90415924	1606810863.9875	s	l		1606777200.0
1.170300	0.04777022	1606810863.9891	s	l		1606777200.0
1.170300	0.00007054	1606810863.9903	s	l		1606777200.0
1.170300	9.97804829	1606810872.3552	s	m		1606777200.0
1.170300	0.02190352	1606810872.3587	s	m		1606777200.0
1.170300	0.00004808	1606810872.3602	s	m		1606777200.0
1.170300	0.00000011	1606810872.3614	s	m		1606777200.0
1.170300	62.17391276	1606810889.926	s	m		1606777200.0
1.176255	10.00000000	1606810985.4083	b	m		1606777200.0
1.170300	41.45324134	1606811056.4749	s	l		1606777200.0
